brandName,modelName,bodyStyleName,cylinderCapacityValue,enginePowerValue,mileageValue,accident,age,sellingPrice
Volkswagen,Amarok,4x4,1968,132,92077,0, 3.74 ,19995
Mercedes-Benz,B 180,Monovolume/Camionnette,1992,80,179000,0, 7.25 ,6499
Skoda,Octavia,Break,1598,66,51966,0, 3.08 ,13990
Volkswagen,Golf,Break,1598,81,47864,0, 1.66 ,19900
Opel,Astra Sports Tourer,Break,1598,100,15500,0, 0.66 ,19900
Citroen,Berlingo,Monovolume/Camionnette,1560,66,180000,0, 12.17 ,2850
Ford,C-MAX,Monovolume/Camionnette,1499,88,6000,0, 0.99 ,21999
Fiat,Ducato,Van,1900,66,175000,0, 16.84 ,2950
Audi,Q3,4x4,1968,100,53000,0, 5.33 ,20950
Audi,A6,Break,2698,140,130000,0, 8.33 ,11500
Opel,Astra,Compacte,1598,81,50000,0, 2.99 ,14900
Peugeot,208,Compacte,1199,60,8715,0, 1.33 ,13400
Mercedes-Benz,Citan,Van,1461,66,69000,0, 2.41 ,7950
Alfa Romeo,Giulietta,Berline,1598,77,97150,0, 7.25 ,7190
Volkswagen,Golf,Berline,1896,74,187000,0, 14.42 ,3350
Audi,A3,Berline,1798,132,100000,0, 4.83 ,16990
Audi,A3,Berline,1595,75,160000,0, 12.25 ,6490
Abarth,500,Compacte,1368,118,28700,0, 1.50 ,17999
Peugeot,5008,Monovolume/Camionnette,1560,82,52723,0, 6.45 ,13450
Lincoln,Town Car,Berline,4601,190,148000,0, 15.09 ,19000
Ford,Focus,Berline,1560,85,54000,0, 4.50 ,10500
Toyota,Avensis,Break,1598,82,19500,0, 1.77 ,19900
Audi,A5,Berline,1968,100,60262,0, 5.75 ,18950
Ford,Transit,Van,2198,74,127000,0, 4.83 ,10950
Porsche,991,Coupe,3800,294,3000,0, 2.83 ,169911
BMW,318 Limousine,Berline,1995,100,103000,0, 8.75 ,11900
Mercedes-Benz,GLA 180,Berline,1595,90,19804,0, 1.41 ,25900
Volkswagen,Touran,Monovolume/Camionnette,1395,110,16000,0, 0.82 ,36500
Kia,Venga,Berline,1591,92,3000,0, 0.08 ,16990
Suzuki,Swift,Compacte,1248,55,100000,0, 8.83 ,6200
Volkswagen,Golf Variant,Break,1598,77,180000,0, 7.67 ,5200
Peugeot,308 SW,Break,1560,85,30000,0, 1.08 ,18950
BMW,525 Limousine,Berline,2497,155,199500,0, 11.00 ,6490
MINI,One D,Break,1598,66,57100,0, 3.08 ,16900
Skoda,Superb,Break,1968,103,28000,0, 2.67 ,22990
Porsche,991,Cabriolet,3436,257,27721,0, 2.41 ,124950
BMW,318 Touring,Break,1995,105,44380,0, 2.83 ,24200
Opel,Zafira,Monovolume/Camionnette,1686,81,126548,0, 4.50 ,10650
BMW,316 Touring,Break,1995,85,59729,0, 3.83 ,20990
Peugeot,Boxer,Van,2198,96,39000,0, 2.83 ,13690
Volkswagen,CRAFTER 35 FOURGON MWB DSL,Van,1968,103,6150,0, 0.66 ,33900
Audi,Q2,4x4,1395,110,14000,0, 0.99 ,35900
Nissan,Qashqai,4x4,1995,110,123500,0, 7.42 ,11950
Audi,Q2,4x4,1598,85,20000,0, 1.08 ,31500
Citroen,C3,Berline,1560,66,29960,0, 2.99 ,8990
Ford,Fiesta,Berline,1388,71,25770,0, 6.33 ,6750
Volkswagen,Caddy,Van,1598,75,136512,0, 6.58 ,11750
Opel,Insignia,Berline,1598,100,20850,0, 1.66 ,18695
BMW,116 5-TÍ_rer,Berline,1995,85,71785,0, 2.99 ,16490
Fiat,Panda,Berline,1248,51,124700,0, 11.67 ,2990
Citroen,C3,Berline,1398,50,154584,0, 14.17 ,3250
Opel,Zafira Tourer,Monovolume/Camionnette,1598,100,181000,0, 4.01 ,7990
Skoda,Fabia,Berline,999,44,49294,0, 2.33 ,9490
Toyota,RAV4,4x4,1998,91,59900,0, 3.83 ,21490
Volvo,V40,Berline,1560,84,84000,0, 4.50 ,14900
Peugeot,208,Compacte,1560,55,11600,0, 1.58 ,14499
Land Rover,Range Rover Evoque,4x4,2179,110,55836,0, 5.50 ,26990
Peugeot,208,Compacte,1560,55,6950,0, 1.83 ,11899
Porsche,Macan,4x4,2987,190,100000,0, 3.41 ,54950
Ford,C-MAX,Monovolume/Camionnette,1997,85,125000,0, 4.41 ,8490
Volvo,S60,Berline,1969,88,18956,0, 1.49 ,23950
